Date,Open,High,Low,Close,Adj Close,Volume
4/01/2010,7.6225,7.660714,7.585,7.643214,6.562589,493729600
5/01/2010,7.664286,7.699643,7.616071,7.656429,6.573936,601904800
6/01/2010,7.656429,7.686786,7.526786,7.534643,6.469368,552160000
7/01/2010,7.5625,7.571429,7.466071,7.520714,6.457407,477131200
8/01/2010,7.510714,7.571429,7.466429,7.570714,6.50034,447610800
11/01/2010,7.6,7.607143,7.444643,7.503929,6.442997,462229600
12/01/2010,7.471071,7.491786,7.372143,7.418571,6.369708,594459600
13/01/2010,7.423929,7.533214,7.289286,7.523214,6.459555,605892000
14/01/2010,7.503929,7.516429,7.465,7.479643,6.422143,432894000
15/01/2010,7.533214,7.557143,7.3525,7.354643,6.314817,594067600
19/01/2010,7.440357,7.685357,7.401429,7.68,6.594174,730007600
20/01/2010,7.675357,7.698214,7.482143,7.561786,6.492674,612152800
21/01/2010,7.574286,7.618214,7.400357,7.431071,6.38044,608154400
22/01/2010,7.385,7.410714,7.041429,7.0625,6.063978,881767600
25/01/2010,7.2325,7.310714,7.149643,7.2525,6.227116,1065699600
26/01/2010,7.355357,7.6325,7.235,7.355,6.315124,1867110000
27/01/2010,7.3875,7.520714,7.126071,7.424286,6.374614,1722568400
28/01/2010,7.318929,7.339286,7.096429,7.1175,6.111203,1173502400
29/01/2010,7.181429,7.221429,6.794643,6.859286,5.889494,1245952400
1/02/2010,6.870357,7,6.832143,6.954643,5.971371,749876400
2/02/2010,6.996786,7.011429,6.906429,6.995,6.006021,698342400
3/02/2010,6.970357,7.15,6.943571,7.115357,6.109363,615328000
4/02/2010,7.026071,7.084643,6.841786,6.858929,5.88919,757652000
5/02/2010,6.879643,7,6.816071,6.980714,5.993754,850306800
8/02/2010,6.988929,7.067143,6.928571,6.932857,5.952665,478270800
9/02/2010,7.015,7.053571,6.955357,7.006786,6.01614,632886800
10/02/2010,6.996071,7.021429,6.937857,6.968571,5.98333,370361600
11/02/2010,6.96,7.133929,6.930714,7.095357,6.092189,550345600
12/02/2010,7.075357,7.201429,6.982143,7.156429,6.144628,655468800
16/02/2010,7.212143,7.274643,7.197143,7.264286,6.237234,543737600
17/02/2010,7.2925,7.296786,7.173571,7.233929,6.211169,436396800
18/02/2010,7.201071,7.281786,7.175714,7.2475,6.222822,422825200
19/02/2010,7.209286,7.257143,7.1825,7.2025,6.184185,415469600
22/02/2010,7.226429,7.232143,7.113929,7.157857,6.145854,390563600
23/02/2010,7.142857,7.190357,6.989643,7.037857,6.04282,575094800
24/02/2010,7.079643,7.194286,7.065714,7.166429,6.153214,460566400
25/02/2010,7.049286,7.245,7.031786,7.214286,6.194304,665126000
26/02/2010,7.227857,7.3275,7.214286,7.307857,6.274645,507460800
1/03/2010,7.348214,7.482143,7.3375,7.463929,6.408653,550093600
2/03/2010,7.4975,7.529643,7.419286,7.458929,6.404358,566546400
3/03/2010,7.462143,7.495357,7.426429,7.476071,6.419076,372052800
4/03/2010,7.474286,7.532857,7.451071,7.525357,6.461395,366041200
5/03/2010,7.676429,7.846429,7.665357,7.819643,6.714075,899620400
8/03/2010,7.8575,7.860357,7.794643,7.824286,6.71806,429889600
9/03/2010,7.796786,8.035714,7.781786,7.965,6.838881,920259200
10/03/2010,7.993929,8.052857,7.971429,8.03,6.89469,596218000
11/03/2010,7.996786,8.053571,7.975714,8.053571,6.914927,405700400
12/03/2010,8.120357,8.133214,8.0625,8.092857,6.94866,416323600
15/03/2010,8.049286,8.053571,7.866071,7.994286,6.864026,493502800
16/03/2010,8.006429,8.035,7.946786,8.016071,6.882729,446908000
17/03/2010,8.032143,8.0875,7.973929,8.004286,6.872612,450956800
18/03/2010,8.003571,8.035714,7.950357,8.023214,6.888865,342109600
19/03/2010,8.028214,8.044286,7.901071,7.9375,6.815267,559445600
22/03/2010,7.873929,8.071429,7.8625,8.026786,6.891929,456419600
23/03/2010,8.058571,8.170714,8.003571,8.155714,7.002631,602431200
24/03/2010,8.13,8.221429,8.125357,8.191786,7.033603,597780400
25/03/2010,8.247143,8.248929,8.080357,8.094643,6.950192,542284400
26/03/2010,8.176786,8.283929,8.1625,8.246429,7.080518,640875200
29/03/2010,8.321429,8.3525,8.272143,8.299643,7.126209,540744400
30/03/2010,8.45,8.481429,8.366071,8.423214,7.232309,527310000
31/03/2010,8.410357,8.450357,8.373571,8.392857,7.206244,430659600
1/04/2010,8.478929,8.526071,8.3125,8.4275,7.235989,603145200
5/04/2010,8.392143,8.518214,8.384643,8.5175,7.313263,684507600
6/04/2010,8.507143,8.58,8.464286,8.555,7.345464,447017200
7/04/2010,8.555357,8.64,8.523571,8.592857,7.377968,628502000
8/04/2010,8.587143,8.626429,8.501429,8.569643,7.358037,572989200
9/04/2010,8.6225,8.638929,8.587857,8.635357,7.414457,334182800
12/04/2010,8.65,8.681071,8.636071,8.653214,7.429792,333026400
13/04/2010,8.637857,8.671429,8.611071,8.658214,7.434085,306210800
14/04/2010,8.76,8.778929,8.716786,8.774643,7.534053,404076400
15/04/2010,8.777857,8.893929,8.768214,8.89,7.633099,376784800
16/04/2010,8.8775,8.969286,8.733929,8.835714,7.586488,750545600
19/04/2010,8.8225,8.853214,8.634643,8.823929,7.57637,566924400
20/04/2010,8.876429,8.901786,8.677143,8.735357,7.50032,738326400
21/04/2010,9.242857,9.294643,9.133214,9.257857,7.948948,982391200
22/04/2010,9.222857,9.526786,9.15,9.516786,8.171266,793424800
23/04/2010,9.571071,9.720714,9.535714,9.6725,8.304967,796955600
26/04/2010,9.71,9.730714,9.578214,9.625,8.264182,479068800
27/04/2010,9.545357,9.565714,9.304286,9.358571,8.035423,709343600
28/04/2010,9.401786,9.428571,9.1575,9.342857,8.021932,758402400
29/04/2010,9.393571,9.642857,9.3575,9.594286,8.237813,558840800
30/04/2010,9.618214,9.663214,9.321429,9.324643,8.006289,542463600
3/05/2010,9.422857,9.567143,9.388571,9.5125,8.167588,454342000
4/05/2010,9.388929,9.403214,9.169643,9.238571,7.932391,723819600
5/05/2010,9.036786,9.219286,8.883214,9.1425,7.8499,883103200
6/05/2010,9.065357,9.223214,7.116071,8.794643,7.551224,1285860800
7/05/2010,8.703929,8.806071,8.043214,8.423571,7.232615,1676018400
10/05/2010,8.9375,9.094643,8.876071,9.071071,7.78857,984306400
11/05/2010,8.994286,9.281786,8.946429,9.161429,7.866154,848906800
12/05/2010,9.258571,9.3975,9.239286,9.360357,8.036957,654379600
13/05/2010,9.400714,9.464286,9.157143,9.227143,7.922578,599712400
14/05/2010,9.112857,9.16,8.910714,9.065,7.783359,759362800
17/05/2010,9.096429,9.149286,8.846786,9.079286,7.795623,762834800
18/05/2010,9.177857,9.233929,8.937857,9.012857,7.738589,782678400
19/05/2010,8.910714,9.032857,8.744643,8.869286,7.615312,1025726800
20/05/2010,8.638571,8.708929,8.436071,8.491429,7.29088,1282915200
21/05/2010,8.315,8.732143,8.2625,8.654286,7.43071,1223891200
24/05/2010,8.831429,8.960714,8.795,8.812857,7.566863,754238800
25/05/2010,8.548214,8.812857,8.47,8.757857,7.519641,1048006400
26/05/2010,8.931429,9.004643,8.705357,8.718214,7.485603,850654000
27/05/2010,8.95,9.0675,8.896786,9.048214,7.768944,666282400
28/05/2010,9.263929,9.264286,9.048214,9.174286,7.877193,815614800
1/06/2010,9.274643,9.497857,9.248571,9.315357,7.998319,876472800
2/06/2010,9.447857,9.457143,9.2975,9.426786,8.093991,688548000
3/06/2010,9.470714,9.483929,9.300357,9.397143,8.06854,650106800
4/06/2010,9.221786,9.353571,9.093929,9.141429,7.848981,758304400
7/06/2010,9.224643,9.255357,8.948214,8.962143,7.695046,886942000
8/06/2010,9.044286,9.064286,8.773214,8.904643,7.645673,1000770400
9/06/2010,8.981071,8.996429,8.660357,8.685714,7.457695,854630000
10/06/2010,8.744286,8.963571,8.65,8.946786,7.681857,776356000
11/06/2010,8.865357,9.066429,8.834643,9.053929,7.773853,545759200
14/06/2010,9.141429,9.255357,9.071786,9.081429,7.797463,602960400
15/06/2010,9.13,9.280357,9.125,9.274643,7.963361,585074000
16/06/2010,9.325,9.5625,9.308214,9.544643,8.195189,783678000
17/06/2010,9.664286,9.746429,9.625,9.709643,8.336859,872855200
18/06/2010,9.723214,9.821429,9.693571,9.788214,8.40432,784621600
21/06/2010,9.9175,9.964643,9.5975,9.648929,8.28473,776490400
22/06/2010,9.72,9.856071,9.696429,9.780357,8.397575,717262000
23/06/2010,9.806429,9.809286,9.567857,9.6775,8.309262,768457200
24/06/2010,9.678571,9.757143,9.575,9.607143,8.248852,714277200
25/06/2010,9.645,9.6525,9.493214,9.525,8.17832,549942400
28/06/2010,9.533214,9.633929,9.447143,9.582143,8.227386,584948000
29/06/2010,9.432857,9.4425,9.082143,9.148929,7.855419,1133344800
30/06/2010,9.168214,9.213214,8.928929,8.983214,7.713134,739452000
1/07/2010,9.082143,9.1,8.686429,8.874286,7.619606,1022896000
2/07/2010,8.946071,8.961786,8.685714,8.819286,7.572386,693842800
6/07/2010,8.964286,9.028571,8.791429,8.879643,7.624207,615235600
7/07/2010,8.946071,9.241786,8.919643,9.238214,7.93208,654556000
8/07/2010,9.374286,9.389286,9.103214,9.2175,7.914299,738144400
9/07/2010,9.174643,9.282143,9.112857,9.272143,7.961214,433322400
12/07/2010,9.233214,9.351786,9.102143,9.188929,7.889767,562878400
13/07/2010,9.154286,9.157143,8.801071,8.992857,7.721412,1190924000
14/07/2010,8.906429,9.135714,8.892857,9.026071,7.749934,812047600
15/07/2010,8.865357,9.1775,8.832143,8.980357,7.710681,824866000
16/07/2010,9.042143,9.106071,8.871786,8.925,7.663153,1039858400
19/07/2010,8.924286,8.924286,8.557143,8.770714,7.53068,1024478000
20/07/2010,8.675,9.032143,8.571786,8.996071,7.724175,1074950800
21/07/2010,9.4675,9.469643,9.071429,9.08,7.796236,1185671200
22/07/2010,9.202857,9.285714,9.118214,9.250714,7.942815,645318800
23/07/2010,9.181786,9.299286,9.152857,9.283571,7.971029,533388800
26/07/2010,9.285714,9.289286,9.203929,9.26,7.950789,420551600
27/07/2010,9.316786,9.457143,9.296429,9.431429,8.09798,584771600
28/07/2010,9.416786,9.499643,9.294643,9.32,8.002304,519985200
29/07/2010,9.311071,9.380357,9.146429,9.218214,7.91491,643806800
30/07/2010,9.138929,9.275,9.103571,9.1875,7.888538,448210000
2/08/2010,9.301429,9.378214,9.272143,9.351786,8.029597,428055600
3/08/2010,9.321786,9.402143,9.265,9.354643,8.032052,417653600
4/08/2010,9.387143,9.438571,9.296786,9.392143,8.064246,420375200
5/08/2010,9.3475,9.399286,9.305357,9.346429,8.024995,289097200
6/08/2010,9.277857,9.338929,9.201071,9.288929,7.975626,444897600
9/08/2010,9.338571,9.3625,9.270357,9.348214,8.026533,303128000
10/08/2010,9.280357,9.301786,9.198214,9.264643,7.954777,451920000
11/08/2010,9.121429,9.131786,8.921786,8.935357,7.672045,620054400
12/08/2010,8.810357,9.039286,8.79,8.9925,7.721108,534920400
13/08/2010,8.9875,8.995714,8.896071,8.896429,7.63862,354869200
16/08/2010,8.842143,8.928929,8.807857,8.844286,7.593848,318430000
17/08/2010,8.931429,9.093929,8.9,8.998929,7.726629,422640400
18/08/2010,9.012857,9.095357,8.985,9.038214,7.760362,339696000
19/08/2010,9.03,9.052857,8.881429,8.924286,7.662539,426706000
20/08/2010,8.906786,9.068571,8.892857,8.915714,7.655177,384230000
23/08/2010,8.9925,9,8.758929,8.778571,7.537426,414041600
24/08/2010,8.666786,8.678571,8.523214,8.568929,7.357423,602565600
25/08/2010,8.501429,8.713929,8.471429,8.674643,7.44819,596867600
26/08/2010,8.766071,8.776786,8.581429,8.581429,7.368156,466505200
27/08/2010,8.633929,8.664643,8.412857,8.629286,7.409246,548391200
30/08/2010,8.598571,8.776786,8.595714,8.660714,7.43623,383289200
31/08/2010,8.6375,8.734286,8.583929,8.682143,7.45463,420786800
1/09/2010,8.838214,8.980714,8.795714,8.940357,7.676336,697037600
2/09/2010,8.973571,9.006071,8.8775,9.006071,7.732762,415427600
3/09/2010,9.110357,9.242143,9.089286,9.241786,7.935148,520788800
7/09/2010,9.165714,9.268929,9.151786,9.2075,7.905712,342557600
8/09/2010,9.277857,9.4425,9.253571,9.39,8.062407,526551200
9/09/2010,9.465714,9.518571,9.39,9.395357,8.067009,438575200
10/09/2010,9.399643,9.446429,9.335714,9.4075,8.077435,387542400
13/09/2010,9.493571,9.581429,9.491429,9.537143,8.188748,388780000
14/09/2010,9.5075,9.613214,9.482857,9.573571,8.220026,408150400
15/09/2010,9.5775,9.656429,9.565714,9.650714,8.286263,429368800
16/09/2010,9.651429,9.881071,9.625,9.8775,8.480985,652103200
17/09/2010,9.9175,9.927143,9.774286,9.834643,8.444185,634477200
20/09/2010,9.86,10.135,9.851786,10.115357,8.685212,658677600
21/09/2010,10.137857,10.2625,10.099643,10.134643,8.701772,668074400
22/09/2010,10.096786,10.285,10.086071,10.276786,8.823818,585289600
23/09/2010,10.226071,10.455714,10.214286,10.318571,8.859694,786116800
24/09/2010,10.432143,10.483214,10.376786,10.44,8.963955,649488000
27/09/2010,10.499286,10.526071,10.393214,10.398571,8.928383,482834800
28/09/2010,10.420357,10.420357,9.821429,10.245,8.796526,1035042400
29/09/2010,10.258214,10.350357,10.214286,10.263214,8.812161,469644000
